gtime,period,x,y,result
43.53333333333333,4,0.4069444444444444,1,made
44.53333333333333,4,0.42777777777777776,1,made
2.7833333333333314,1,-0.44201388888888893,0,missed
4.416666666666664,1,-0.40798611111111116,1,made
6.200000000000003,1,-0.3708333333333333,0,missed
7.666666666666664,1,-0.34027777777777785,0,missed
7.766666666666666,1,-0.33819444444444446,0,missed
9.216666666666669,1,-0.30798611111111107,0,missed
15.700000000000003,2,-0.1729166666666666,1,made
17.683333333333334,2,-0.13159722222222223,1,made
18.916666666666668,2,-0.10590277777777775,0,missed
19.916666666666668,2,-0.08506944444444442,0,missed
20.233333333333334,2,-0.07847222222222221,1,made
21.266666666666666,2,-0.056944444444444464,1,made
23.433333333333334,2,-0.01180555555555555,1,made
27.383333333333333,3,0.0704861111111111,1,made
27.766666666666666,3,0.07847222222222221,0,missed
1.3999999999999986,1,-0.4708333333333334,1,made
3.066666666666663,1,-0.43611111111111117,1,made
4.183333333333337,1,-0.41284722222222214,1,made
4.549999999999997,1,-0.4052083333333334,1,made
10.233333333333334,1,-0.28680555555555554,0,missed
11.43333333333333,1,-0.2618055555555556,0,missed
18.416666666666668,2,-0.11631944444444442,0,missed
18.71666666666667,2,-0.1100694444444444,1,made
19.083333333333332,2,-0.10243055555555558,1,made
20.366666666666667,2,-0.07569444444444444,1,made
23.966666666666665,2,-6.94444444444479e-4,0,missed
25.53333333333333,3,0.03194444444444441,0,missed
25.96666666666667,3,0.040972222222222264,1,made
28.8,3,0.10000000000000002,0,missed
30.25,3,0.13020833333333334,0,missed
33.65,3,0.20104166666666667,1,made
34.78333333333333,3,0.22465277777777778,0,missed
35.46666666666667,3,0.2388888888888889,0,missed
40.233333333333334,4,0.33819444444444446,0,missed
40.766666666666666,4,0.34930555555555554,0,missed
43.13333333333333,4,0.3986111111111111,0,missed
43.31666666666666,4,0.40243055555555557,0,missed
44.766666666666666,4,0.43263888888888885,1,made
46.13333333333333,4,0.4611111111111111,0,missed
46.95,4,0.47812499999999997,1,made
47.55,4,0.49062500000000003,1,made
47.63333333333333,4,0.4923611111111111,0,missed
47.8,4,0.49583333333333335,0,missed
47.96666666666667,4,0.4993055555555555,0,missed
1.2999999999999972,1,-0.4729166666666667,1,made
2.433333333333337,1,-0.44930555555555546,0,missed
3.6499999999999986,1,-0.4239583333333334,0,missed
5.899999999999999,1,-0.3770833333333334,0,missed
7.433333333333337,1,-0.34513888888888883,1,made
9.43333333333333,1,-0.3034722222222223,0,missed
11,1,-0.2708333333333333,1,made
11.31666666666667,1,-0.26423611111111106,0,missed
11.516666666666666,1,-0.26006944444444446,1,made
18.78333333333333,2,-0.1086805555555556,0,missed
18.9,2,-0.10625000000000002,0,missed
19.083333333333332,2,-0.10243055555555558,0,missed
19.15,2,-0.1010416666666667,1,made
26.316666666666666,3,0.048263888888888884,0,missed
32.11666666666667,3,0.16909722222222223,0,missed
32.38333333333333,3,0.17465277777777777,0,missed
35.2,3,0.2333333333333333,0,missed
41.733333333333334,4,0.36944444444444446,0,missed
44.95,4,0.43645833333333334,0,missed
46.4,4,0.4666666666666666,0,missed
2.4666666666666686,1,-0.44861111111111107,0,missed
4.883333333333333,1,-0.3982638888888889,0,missed
8.583333333333336,1,-0.3211805555555555,1,made
9.600000000000001,1,-0.3,0,missed
10.966666666666669,1,-0.27152777777777776,0,missed
11.43333333333333,1,-0.2618055555555556,0,missed
11.966666666666669,1,-0.2506944444444444,0,missed
16.416666666666668,2,-0.15798611111111108,0,missed
18.366666666666667,2,-0.1173611111111111,0,missed
19.65,2,-0.09062500000000002,0,missed
21.083333333333332,2,-0.060763888888888916,1,made
22.2,2,-0.03750000000000001,0,missed
23.45,2,-0.011458333333333348,0,missed
24.78333333333333,3,0.016319444444444404,1,made
26.733333333333334,3,0.056944444444444464,1,made
27.833333333333336,3,0.07986111111111116,0,missed
28.266666666666666,3,0.08888888888888886,1,made
29.05,3,0.10520833333333335,0,missed
33.166666666666664,3,0.1909722222222222,0,missed
34.2,3,0.2125,1,made
34.81666666666666,3,0.22534722222222223,1,made
35.3,3,0.2354166666666667,0,missed
36.55,4,0.26145833333333335,0,missed
38.4,4,0.3,0,missed
38.416666666666664,4,0.3003472222222222,1,made
39.1,4,0.3145833333333333,0,missed
40.86666666666667,4,0.3513888888888889,0,missed
43.7,4,0.41041666666666665,1,made
44.1,4,0.41875,1,made
47.833333333333336,4,0.49652777777777773,0,missed
47.9,4,0.4979166666666666,0,missed
48,4,0.5,0,missed
1.3166666666666629,1,-0.47256944444444454,0,missed
3.316666666666663,1,-0.43090277777777786,0,missed
4.916666666666664,1,-0.3975694444444445,0,missed
5.433333333333337,1,-0.38680555555555546,0,missed
5.816666666666663,1,-0.37881944444444454,0,missed
6.333333333333336,1,-0.3680555555555555,1,made
6.816666666666663,1,-0.35798611111111117,0,missed
8.399999999999999,1,-0.325,1,made
11.866666666666667,1,-0.25277777777777777,0,missed
18.233333333333334,2,-0.12013888888888886,0,missed
18.65,2,-0.11145833333333337,1,made
20.05,2,-0.08229166666666665,1,made
20.53333333333333,2,-0.07222222222222226,0,missed
21.333333333333332,2,-0.05555555555555558,1,made
21.766666666666666,2,-0.0465277777777778,1,made
22.133333333333333,2,-0.038888888888888896,0,missed
22.966666666666665,2,-0.021527777777777812,1,made
23.383333333333333,2,-0.012847222222222232,0,missed
23.466666666666665,2,-0.011111111111111146,0,missed
25.45,3,0.03020833333333332,1,made
26.483333333333334,3,0.05173611111111113,1,made
28.65,3,0.09687499999999998,0,missed
31.95,3,0.165625,0,missed
32.5,3,0.17708333333333334,0,missed
32.983333333333334,3,0.1871527777777778,0,missed
34.45,3,0.2177083333333333,0,missed
42.88333333333333,4,0.39340277777777777,0,missed
43.31666666666666,4,0.40243055555555557,1,made
45.81666666666667,4,0.4545138888888889,0,missed
2,1,-0.4583333333333333,1,made
3.383333333333333,1,-0.4295138888888889,1,made
3.866666666666667,1,-0.41944444444444445,1,made
4.283333333333331,1,-0.41076388888888893,0,missed
4.383333333333333,1,-0.40868055555555555,0,missed
5.549999999999997,1,-0.3843750000000001,1,made
10.366666666666667,1,-0.28402777777777777,0,missed
18.566666666666666,2,-0.11319444444444444,0,missed
20.016666666666666,2,-0.08298611111111114,1,made
22.683333333333334,2,-0.027430555555555552,0,missed
24.616666666666667,3,0.012847222222222232,0,missed
26.3,3,0.047916666666666684,1,made
26.9,3,0.06041666666666664,0,missed
28.45,3,0.09270833333333332,0,missed
30.416666666666668,3,0.13368055555555558,0,missed
30.983333333333334,3,0.14548611111111112,0,missed
32.43333333333334,3,0.17569444444444446,0,missed
37.25,4,0.2760416666666667,1,made
38.733333333333334,4,0.3069444444444444,0,missed
39.03333333333333,4,0.31319444444444444,0,missed
40.53333333333333,4,0.3444444444444444,1,made
41.166666666666664,4,0.3576388888888889,0,missed
41.666666666666664,4,0.3680555555555556,1,made
42.266666666666666,4,0.38055555555555554,0,missed
42.88333333333333,4,0.39340277777777777,1,made
43.4,4,0.4041666666666666,1,made
44.4,4,0.425,0,missed
47.45,4,0.48854166666666665,1,made
47.88333333333333,4,0.49756944444444445,0,missed
2.7166666666666686,1,-0.44340277777777776,1,made
4.850000000000001,1,-0.3989583333333333,1,made
5.983333333333334,1,-0.3753472222222222,1,made
